mol_i, mol_j, whole_dissimilarity
7, 30, 0.0020490157322694547
7, 31, 0.0021803741036519053
7, 32, 0.0020731544346235253
7, 33, 0.0014784361982890237
7, 34, 0.0015730143815514408
7, 35, 0.0016863403042812752
7, 36, 0.001455511461538328
7, 37, 0.0013809642818004564
7, 38, 0.001350180281679103
7, 39, 0.0013343230198593625
7, 40, 0.0013278571984860488
7, 41, 0.001324774739774548
7, 42, 0.001395422431159421
7, 43, 0.0015705674511734546
7, 44, 0.0026386021190693
7, 45, 0.002572720495394254
7, 46, 0.0025186123466864885
7, 47, 0.002512043123724439
7, 48, 0.002514539995226661
7, 49, 0.002521653855359185
7, 50, 0.002522100198913302
7, 51, 0.0025189069530369146
7, 52, 0.0025245017350021826
7, 53, 0.002557236561464782
7, 54, 0.002747403375450208
7, 55, 0.002893517950179003
7, 56, 0.002585918181594704
7, 57, 0.002501561943582309
7, 58, 0.002442913631308552
7, 59, 0.0024376688748554143
7, 60, 0.0024299908009931537
7, 61, 0.0024313779433597915
7, 62, 0.002455106630149806
7, 63, 0.0025655953782034446
7, 64, 0.0038149416126193048
7, 65, 0.02087515126483619
7, 66, 0.0031360730642416845
7, 67, 0.0030923147153857355
7, 68, 0.0030377563423182874
7, 69, 0.0030571264980725488
7, 70, 0.003054900426694762
7, 71, 0.003040921078388159
7, 72, 0.0030282545847385434
7, 73, 0.003018325840175584
7, 74, 0.003001161875286984
7, 75, 0.003045722208420032
7, 76, 0.0033479781510834528
7, 77, 0.0028804472330238307
7, 78, 0.002830563539868214
7, 79, 0.0028028653250905533
7, 80, 0.0027945531058792827
7, 81, 0.002789407588956072
7, 82, 0.0027814056399311227
7, 83, 0.0027752373680568487
7, 84, 0.002781898704100616
7, 85, 0.002823332506961984
7, 86, 0.002841904412899998
7, 87, 0.003009680413461835
7, 88, 0.003571160141497054
7, 89, 0.0035235743450082735
7, 90, 0.003470805203168559
7, 91, 0.003455708567507876
7, 92, 0.0034560676343118324
7, 93, 0.0034400407313029957
7, 94, 0.0034272708827600695
7, 95, 0.0034135666670523923
7, 96, 0.0034023165894522256
7, 97, 0.0035073773644765938
7, 98, 0.003922500643213089
7, 99, 0.0030838289525779716
7, 100, 0.003035458355683085
7, 101, 0.0030028584084091925
7, 102, 0.0029976440824257544
7, 103, 0.0029896620553455655
7, 104, 0.0029768810274436452
7, 105, 0.002966631635919259
7, 106, 0.002959087453811682
7, 107, 0.002960700805473393
7, 108, 0.002959212828596458
7, 109, 0.003736620250088918
8, 0, 0.00017337593647814842
8, 1, 0.00031469962850494415
8, 2, 0.0001992921466220654
8, 3, 0.0002629241389093817
8, 4, 0.0001320185136419738
8, 5, 3.825232818865931e-05
8, 6, 9.683642994029462e-06
